Follower Athlete ID,Follow Status,Created At
19353884,Accepted,"Jan 14, 2017, 11:09:08 AM"
16605502,Accepted,"Oct 29, 2017, 5:59:52 PM"
19060032,Accepted,"Feb 19, 2019, 9:42:13 PM"
16620986,Accepted,"Mar 25, 2019, 10:29:30 AM"
50988057,Accepted,"Feb 9, 2020, 11:09:13 AM"
33675628,Accepted,"Feb 16, 2020, 6:28:22 AM"
12037853,Accepted,"Jun 28, 2020, 11:35:55 AM"
76530166,Accepted,"Mar 15, 2021, 2:47:55 PM"
59989817,Accepted,"Jun 14, 2021, 1:42:48 AM"
87013020,Accepted,"Apr 19, 2024, 11:22:21 AM"
133136800,Accepted,"May 5, 2024, 4:31:20 PM"
132663317,Accepted,"May 14, 2024, 2:04:50 AM"
132755100,Accepted,"Jun 26, 2024, 3:27:41 PM"
142084291,Accepted,"Jul 11, 2024, 11:32:36 PM"
86396921,Accepted,"Jul 14, 2024, 2:49:19 AM"
26255279,Accepted,"Jul 21, 2024, 3:03:59 AM"
18952865,Accepted,"Jul 25, 2024, 3:30:32 PM"
72321174,Accepted,"Jul 26, 2024, 11:36:13 PM"
48550424,Accepted,"Jul 30, 2024, 9:16:13 AM"
