Join Date,Name,Completed
"Aug 19, 2016, 10:55:17 AM",Strava Races: 10k,false
"Sep 12, 2016, 10:34:45 AM",Strava Races: 10k,false
"Sep 12, 2016, 10:34:57 AM",September Run Climbing Challenge,false
"Jun 30, 2024, 5:55:48 AM",June 5K x Brooks Challenge,true
"Jun 30, 2024, 5:55:56 AM",July 5K x Brooks Challenge,true
"Jun 30, 2024, 5:58:22 AM",June 400-Minute Challenge,true
"Jun 30, 2024, 5:58:40 AM",June Running Elevation Challenge,false
"Jun 30, 2024, 5:58:43 AM",July Running Elevation Challenge,true
"Jun 30, 2024, 5:58:49 AM",June Run 100K Challenge,false
"Jun 30, 2024, 5:58:52 AM",July Run 100K Challenge,false
"Jun 30, 2024, 5:58:57 AM",June 10K Challenge,false
"Jun 30, 2024, 5:58:59 AM",July 10K Challenge,true
"Jun 30, 2024, 5:59:04 AM",July 400-Minute Challenge,true
