Reaction Date,Reaction Type,Parent Type,Parent ID
"Jan 22, 2017, 10:57:54 PM",Kudos,Activity,840405004
"Feb 12, 2020, 12:46:35 AM",Kudos,Activity,3087704254
"Jul 4, 2023, 3:10:31 PM",Kudos,Activity,9383953835
"Jul 4, 2023, 3:10:35 PM",Kudos,Activity,9379623554
"May 7, 2024, 3:08:22 AM",Kudos,Activity,11345911410
"May 7, 2024, 3:08:54 AM",Kudos,Activity,11344473444
"May 7, 2024, 3:08:56 AM",Kudos,Activity,11338468074
"May 18, 2024, 7:48:48 AM",Kudos,Activity,11435201337
"May 19, 2024, 4:26:03 AM",Kudos,Activity,11439439284
"May 19, 2024, 4:45:54 PM",Kudos,Activity,11443303547
"May 19, 2024, 4:48:36 PM",Kudos,Activity,11415760983
"Jun 21, 2024, 2:30:41 PM",Kudos,Activity,11688117385
"Jun 21, 2024, 2:31:04 PM",Kudos,Activity,11680333571
"Jun 23, 2024, 11:22:15 AM",Kudos,Activity,11716442825
"Jun 24, 2024, 1:25:45 PM",Kudos,Activity,11727367293
"Jun 24, 2024, 11:14:15 PM",Kudos,Activity,11728292462
"Jun 29, 2024, 3:16:55 PM",Kudos,Activity,11763043855
"Jun 30, 2024, 4:55:34 AM",Kudos,Activity,11771693458
"Jul 3, 2024, 1:06:16 AM",Kudos,Activity,11782084345
"Jul 5, 2024, 3:02:58 AM",Kudos,Activity,11802719639
"Jul 5, 2024, 3:58:32 PM",Kudos,Activity,11815351606
"Jul 6, 2024, 2:49:13 AM",Kudos,Activity,11813332165
"Jul 7, 2024, 10:38:16 AM",Kudos,Activity,11828286384
"Jul 7, 2024, 10:38:49 AM",Kudos,Activity,11826194372
"Jul 7, 2024, 10:38:51 AM",Kudos,Activity,11826194363
"Jul 7, 2024, 10:38:54 AM",Kudos,Activity,11823078443
"Jul 7, 2024, 10:39:00 AM",Kudos,Activity,11820865238
"Jul 9, 2024, 3:16:06 PM",Kudos,Activity,11845644655
"Jul 10, 2024, 4:20:58 PM",Kudos,Activity,11854389860
"Jul 10, 2024, 4:21:00 PM",Kudos,Activity,11854560714
"Jul 11, 2024, 4:58:02 PM",Kudos,Activity,11862758444
"Jul 14, 2024, 2:38:49 AM",Kudos,Activity,11882168703
"Jul 14, 2024, 10:11:28 AM",Kudos,Activity,11874636558
"Jul 14, 2024, 10:30:06 AM",Kudos,Activity,11884586099
"Jul 16, 2024, 12:41:10 PM",Kudos,Activity,11900868020
"Jul 16, 2024, 12:41:20 PM",Kudos,Activity,11900859702
"Jul 16, 2024, 12:41:27 PM",Kudos,Activity,11900864661
"Jul 16, 2024, 12:41:32 PM",Kudos,Activity,11893562922
"Jul 16, 2024, 12:41:34 PM",Kudos,Activity,11894290215
"Jul 17, 2024, 2:52:42 AM",Kudos,Activity,11901710011
"Jul 17, 2024, 2:58:53 PM",Kudos,Activity,11910546756
"Jul 17, 2024, 2:58:55 PM",Kudos,Activity,11910378490
"Jul 18, 2024, 5:39:10 PM",Kudos,Activity,11919517170
"Jul 20, 2024, 4:05:23 AM",Kudos,Activity,11931724169
"Jul 20, 2024, 4:05:37 AM",Kudos,Activity,11931529745
"Jul 20, 2024, 4:06:12 AM",Kudos,Activity,11927530158
"Jul 21, 2024, 4:00:28 AM",Kudos,Activity,11939000753
"Jul 21, 2024, 4:00:31 AM",Kudos,Activity,11939321060
"Jul 22, 2024, 10:41:14 AM",Kudos,Activity,11950406918
"Jul 23, 2024, 3:50:41 AM",Kudos,Activity,11950942992
"Jul 24, 2024, 3:52:34 PM",Kudos,Activity,11969790998
"Jul 24, 2024, 3:52:50 PM",Kudos,Activity,11968865898
"Jul 24, 2024, 3:52:52 PM",Kudos,Activity,11968246271
"Jul 24, 2024, 3:52:56 PM",Kudos,Activity,11960700612
"Jul 24, 2024, 3:52:58 PM",Kudos,Activity,11960902997
"Jul 26, 2024, 7:54:51 AM",Kudos,Activity,11976574063
"Jul 28, 2024, 2:21:21 AM",Kudos,Activity,11998199546
"Jul 28, 2024, 2:21:48 AM",Kudos,Activity,11984848512
"Jul 28, 2024, 2:22:06 AM",Kudos,Activity,11976849109
"Jul 28, 2024, 3:09:14 PM",Kudos,Activity,12001498308
"Jul 28, 2024, 3:13:51 PM",Kudos,Activity,12001418618
"Jul 29, 2024, 3:05:15 PM",Kudos,Activity,12009168013
"Jul 30, 2024, 9:10:28 AM",Kudos,Activity,12014598530
"Jul 30, 2024, 9:26:50 AM",Kudos,Activity,12010478895
"Jul 30, 2024, 11:58:17 PM",Kudos,Activity,12018608939
"Jul 30, 2024, 11:58:51 PM",Kudos,Activity,12018564664
"Jul 30, 2024, 11:58:54 PM",Kudos,Activity,12019293659
"Jul 30, 2024, 11:58:59 PM",Kudos,Activity,12018333559
"Jul 30, 2024, 11:59:02 PM",Kudos,Activity,12018342420
"Jul 31, 2024, 12:10:26 PM",Kudos,Activity,12026419110
"Jul 31, 2024, 10:03:42 PM",Kudos,Activity,12027223869
"Aug 2, 2024, 12:40:41 PM",Kudos,Activity,12035697030
"Aug 2, 2024, 12:40:44 PM",Kudos,Activity,12035996527
"Aug 2, 2024, 4:30:03 PM",Kudos,Activity,12043563838
"Aug 4, 2024, 11:57:28 AM",Kudos,Activity,12059497888
"Aug 4, 2024, 11:58:05 AM",Kudos,Activity,12050749508
"Aug 5, 2024, 10:01:59 PM",Kudos,Activity,12068452639
"Aug 5, 2024, 10:02:13 PM",Kudos,Activity,12069050688
"Aug 5, 2024, 10:02:56 PM",Kudos,Activity,12067247491
"Aug 5, 2024, 11:48:45 PM",Kudos,Activity,12068518797
"Aug 7, 2024, 3:32:02 PM",Kudos,Activity,12086586256
"Aug 7, 2024, 3:32:06 PM",Kudos,Activity,12086843812
"Aug 9, 2024, 1:02:19 AM",Kudos,Activity,12095493167
"Aug 9, 2024, 1:02:26 AM",Kudos,Activity,12094085475
"Aug 9, 2024, 1:02:34 AM",Kudos,Activity,12094895095
"Aug 9, 2024, 1:02:37 AM",Kudos,Activity,12094357287
"Aug 9, 2024, 1:02:42 AM",Kudos,Activity,12094608383
"Aug 9, 2024, 3:39:17 PM",Kudos,Activity,12103608025
"Aug 9, 2024, 3:39:25 PM",Kudos,Activity,12103196838
"Aug 9, 2024, 3:39:28 PM",Kudos,Activity,12103583968
"Aug 9, 2024, 5:49:01 PM",Kudos,Activity,12104404760
"Aug 9, 2024, 5:49:11 PM",Kudos,Activity,12104222054
"Aug 11, 2024, 2:15:52 PM",Kudos,Activity,12115648194
"Aug 11, 2024, 2:15:56 PM",Kudos,Activity,12115392471
"Aug 11, 2024, 4:34:19 PM",Kudos,Activity,12121042938
"Aug 12, 2024, 3:12:15 PM",Kudos,Activity,12127879346
"Aug 12, 2024, 3:12:38 PM",Kudos,Activity,12128373606
"Aug 12, 2024, 3:12:53 PM",Kudos,Activity,12127194308
"Aug 14, 2024, 2:56:56 AM",Kudos,Activity,12136349431
"Aug 14, 2024, 1:47:14 PM",Kudos,Activity,12145419071
"Aug 14, 2024, 1:47:20 PM",Kudos,Activity,12145147899
"Aug 14, 2024, 1:48:22 PM",Kudos,Activity,12128875732
"Aug 14, 2024, 4:04:18 PM",Kudos,Activity,12146105936
"Aug 14, 2024, 4:04:39 PM",Kudos,Activity,12145856481
"Aug 15, 2024, 12:36:12 AM",Kudos,Activity,12145856471
"Jul 31, 2024, 11:40:25 AM",Like,Comment,1869827816
